consecutive_number,state_name,city,day_of_crash,month_of_crash,year_of_crash,day_of_week,hour_of_crash,minute_of_crash,atmospheric_conditions_1,atmospheric_conditions_1_name,atmospheric_conditions_2,atmospheric_conditions_2_name,atmospheric_conditions,atmospheric_conditions_name,number_of_fatalities
190246,Iowa,0,16,11,2015,2,23,58,10,Cloudy,12,Freezing Rain or Drizzle,12,Freezing Rain or Drizzle,2
190269,Iowa,0,15,12,2015,3,7,11,10,Cloudy,12,Freezing Rain or Drizzle,12,Freezing Rain or Drizzle,1
390016,Ohio,0,3,1,2015,7,9,55,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
390096,Ohio,0,14,2,2015,7,14,20,11,Blowing Snow,7,"Blowing Sand, Soil, Dirt",11,Blowing Snow,1
390126,Ohio,0,14,2,2015,7,14,22,11,Blowing Snow,0,No Additional Atmospheric Conditions,11,Blowing Snow,1
390883,Ohio,0,13,11,2015,6,15,20,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
390099,Ohio,0,14,2,2015,7,11,19,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",1
390094,Ohio,0,14,2,2015,7,15,59,6,Severe Crosswinds,0,No Additional Atmospheric Conditions,6,Severe Crosswinds,1
390049,Ohio,383,29,1,2015,5,11,18,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",2
390088,Ohio,0,14,2,2015,7,11,30,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",1
390024,Ohio,0,9,1,2015,6,7,39,6,Severe Crosswinds,0,No Additional Atmospheric Conditions,6,Severe Crosswinds,1
390003,Ohio,0,3,1,2015,7,7,30,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
390011,Ohio,558,11,1,2015,1,20,0,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
490050,Utah,2050,3,3,2015,3,14,15,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
490123,Utah,0,14,4,2015,3,12,24,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",1
490079,Utah,9997,15,5,2015,6,10,30,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
160180,Idaho,0,14,12,2015,2,21,14,11,Blowing Snow,0,No Additional Atmospheric Conditions,11,Blowing Snow,1
230146,Maine,1310,25,12,2015,6,4,10,3,"Sleet, Hail",12,Freezing Rain or Drizzle,3,"Sleet, Hail",1
230145,Maine,3825,22,12,2015,3,18,12,3,"Sleet, Hail",12,Freezing Rain or Drizzle,3,"Sleet, Hail",1
480087,Texas,0,10,1,2015,7,7,30,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
480046,Texas,0,9,1,2015,6,7,33,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",2
482753,Texas,0,16,11,2015,2,11,40,6,Severe Crosswinds,0,No Additional Atmospheric Conditions,6,Severe Crosswinds,1
480357,Texas,0,22,2,2015,1,21,19,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
480361,Texas,4560,22,2,2015,1,16,1,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
481062,Texas,780,10,2,2015,3,23,28,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,1
481184,Texas,0,27,5,2015,4,16,40,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",1
480439,Texas,0,4,3,2015,4,8,52,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
482791,Texas,0,26,11,2015,5,21,47,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",3
480017,Texas,0,2,1,2015,6,12,50,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
480497,Texas,0,23,2,2015,2,10,20,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
480612,Texas,4007,4,3,2015,4,19,36,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
480093,Texas,0,13,1,2015,3,6,30,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",2
480364,Texas,1190,23,2,2015,2,4,18,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
480477,Texas,0,11,3,2015,4,5,21,10,Cloudy,8,Other,8,Other,1
482795,Texas,4140,27,11,2015,6,8,28,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",1
482831,Texas,4140,27,11,2015,6,5,28,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",3
482818,Texas,950,21,11,2015,7,11,18,6,Severe Crosswinds,0,No Additional Atmospheric Conditions,6,Severe Crosswinds,1
480405,Texas,0,22,2,2015,1,22,3,3,"Sleet, Hail",0,No Additional Atmospheric Conditions,3,"Sleet, Hail",2
481668,Texas,5920,11,7,2015,7,6,20,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,1
20044,Alaska,130,29,9,2015,3,14,29,2,Rain,12,Freezing Rain or Drizzle,12,Freezing Rain or Drizzle,1
200299,Kansas,0,27,11,2015,6,14,50,12,Freezing Rain or Drizzle,0,No Additional Atmospheric Conditions,12,Freezing Rain or Drizzle,2
